PROC_OFFICER_NAME,ARTWORK_ARTWORK_ID
"Gift of Mrs. John D. Rockefeller, 3rd, Mrs. Gifford Phillips, Celeste and Armand P. Bartos, Mrs. S. I. Newhouse, Jr., and purchase",149
"Gift of Blanchette Hooker Rockefeller, Mrs. Gifford Phillips, Celeste and Armand P. Bartos, Mrs. S. I. Newhouse, Jr., and purchase",150
Gift of the architects,151
Gift of the architects,152
Gift of the architects,153
Gift of the architects,154
Roblee McCarthy Fund,163
Roblee McCarthy Fund,164
Gift of Milton Sheingarten,165
Roblee McCarthy Fund,166
Gift of the architect,168
Edward Larrabee Barnes Purchase Fund,169
Edward Larrabee Barnes Purchase Fund,171
Kenneth Walker Fund,173
Gift of Milton Scheingarten,174
Pritzker Foundation Fund and Architecture & Design Purchase Fund,175
Gift of Milton Scheingarten,176
Pritzker Foundation Fund and Architecture & Design Purchase Fund,177
Gift of Milton Scheingarten,178
Pritzker Foundation Fund and Architecture & Design Purchase Fund,179
Gift of Milton Scheingarten,180
Pritzker Foundation Fund and Architecture & Design Purchase Fund,181
Gift of Milton Scheingarten,182
Pritzker Foundation Fund and Architecture & Design Purchase Fund,183
Pritzker Foundation Fund and Architecture & Design Purchase Fund,185
Gift of Milton Scheingarten,186
Pritzker Foundation Fund and Architecture & Design Purchase Fund,187
Gift of the architect,189
Gift of the architect,191
Gift of the architect,193
Gift of Milton Scheingarten,195
Gift of Milton Scheingarten,197
Gift of Milton Scheingarten,198
Gift of Milton Scheingarten,199
Gift of Kenneth Walker,200
Marshall Cogan Purchase Fund and Jeffrey P. Klein Purchase Fund,201
"David Rockefeller, Jr. Fund",202
Gift of Kenneth Walker,203
Gift of Kenneth Walker,204
Arthur Drexler Fund,205
Arthur Drexler Fund,206
Arthur Drexler Fund,207
Arthur Drexler Fund,208
Gift of the designer,209
"Gift of Venturi, Rauch and Scott Brown, Inc.",210
"Gift of Venturi, Rauch and Scott Brown, Inc.",211
"Gift of Venturi, Rauch and Scott Brown, Inc.",212
"Gift of Venturi, Rauch and Scott Brown, Inc.",213
"Gift of Venturi, Rauch and Scott Brown, Inc.",215
Gift of the architect,219
Gift of Dorothy and Leroy Lavine,220
Gift of the architect,221
Gift of the architect,222
Gift of the architect,223
Gift of the architect,224
Gift of the architect,225
Gift of the architect,226
Gift of the architect,227
Gift of the architect,228
Gift of the architect,229
Gift of the architect,230
Gift of the architect,231
"Gift of Edgar Kaufmann, Jr.",232
Gift of the architect,233
Gift of the architect,235
Gift of the architect,237
Gift of the architect,238
Gift of the architect,239
Gift of Barbara Pine,240
"Gift of David Rockefeller, Jr. Fund, Ira Howard Levy Fund, and Jeffrey P. Klein Purchase Fund",241
"Gift of David Rockefeller, Jr. Fund, Ira Howard Levy Fund, and Jeffrey P. Klein Purchase Fund",242
"Gift of David Rockefeller, Jr. Fund, Ira Howard Levy Fund, and Jeffrey P. Klein Purchase Fund",243
"Gift of David Rockefeller, Jr. Fund, Ira Howard Levy Fund, and Jeffrey P. Klein Purchase Fund",244
"Gift of David Rockefeller, Jr. Fund, Ira Howard Levy Fund, and Jeffrey P. Klein Purchase Fund",245
"Gift of David Rockefeller, Jr. Fund, Ira Howard Levy Fund, and Jeffrey P. Klein Purchase Fund",246
"Gift of David Rockefeller, Jr. Fund, Ira Howard Levy Fund, and Jeffrey P. Klein Purchase Fund",247
"Gift of David Rockefeller, Jr. Fund, Ira Howard Levy Fund, and Jeffrey P. Klein Purchase Fund",248
"Gift of David Rockefeller, Jr. Fund, Ira Howard Levy Fund, and Jeffrey P. Klein Purchase Fund",249
"Gift of David Rockefeller, Jr. Fund, Ira Howard Levy Fund, and Jeffrey P. Klein Purchase Fund",250
"Gift of Roblee McCarthy, Jr. Fund and Lily Auchincloss Fund",252
"Gift of Roblee McCarthy, Jr. Fund and Lily Auchincloss Fund",253
Ralph Fehlbaum Purchase Fund,255
"Rob Beyer Purchase Fund, Edward Larrabee Barnes Purchase Fund, Marcel Breuer Purchase Fund, and Philip Johnson Purchase Fund",256
Estée and Joseph Lauder Design Fund,257
Gift of Banca del Gottardo,258
Gift of Banca del Gottardo,259
Gift of Banca del Gottardo,260
Gift of Banca del Gottardo,262
Gift of Banca del Gottardo,263
"Gift of The Gilman Foundation, Inc.",264
"Gift of The Gilman Foundation, Inc.",266
Gift of the architect,269
Gift of the architect,270
Gift of the architect,271
Gift of the architect,272
Gift of the architect,273
Gift of the architect,274
Gift of the architect,275
Gift of the architect,276
Gift of the architect,277
Gift of Mario Botta,278
Gift of Mario Botta,279
Gift of the architect,280
Gift of the architect,281
Gift of Mr. and Mrs. Walter Hochschild,282
Zaidee Dufallo Fund and Greta Daniel Fund,283
Gift of Mr. and Mrs. Walter Hochschild,284
Gift of Mr. and Mrs. Walter Hochschild,285
Inter-American Fund,286
Purchase,287
Architecture and Design Interest Fund,288
Purchase,289
Purchase,290
Purchase,291
Purchase,292
Purchase,293
"Mies van der Rohe Archive, gift of the architect",294
"Robert K. and Barbara J. Straus Family Foundation, Inc.",295
Given anonymously,296
Given anonymously,297
Given anonymously,298
Given anonymously,299
Andrew Cogan Purchase Fund,300
Barbara Jakobson Purchase Fund,301
Gift of the Peter Norton Family Foundation,302
Gift of the Peter Norton Family Foundation,303
Robert K. and Barbara J. Straus Family Foundation,304
"Jeffrey P. Klein Purchase Fund, Barbara Pine Purchase Fund, and Frederieke Taylor Purchase Fund",305
"Gift of Patricia Phelps de Cisneros, The Lauder Foundation, Leonard and Evelyn Lauder Fund, and Victoria Newhouse Purchase Fund",306
Philip Johnson Fund,307
Philip Johnson Fund,308
Gift of the architect,309
Marshall Cogan Purchase Fund,318
Marshall Cogan Purchase Fund,319
Purchase,320
