ARTWORK_ID,ARTWORK_TITLE,ARTWORK_CREATION_YEAR,ACQUSITION_DATE,PROC_OFFICER_NAME
449,House for Venice Biennale project,1976,1996-09-25 00:00:00,Gift of the architect in honor of Philip Johnson
450,First Unitarian Church and School,1960,1967-04-11 00:00:00,Gift of the architect
451,Les Espaces d'Abraxas: Le Palacio,1979,1985-11-18 00:00:00,Gift of Ricardo Bofill Taller de Arquitectura
452,Iris Dome Project,1994,1994-09-21 00:00:00,Gift of the architect in honor of Lily Auchincloss
453,House for Venice Biennale,1976,1996-09-25 00:00:00,Gift of the architect in honor of Philip Johnson
454,Salk Institute for Biological Studies,1961,1967-04-11 00:00:00,Gift of the architect
455,New York Tower,1985,1985-11-18 00:00:00,Gift of Ricardo Bofill Taller de Arquitectura
456,Void Space/Hinge Space Housing,1989,1994-09-21 00:00:00,Gift of the architect in honor of Lily Auchincloss
457,House for Venice Biennale project,1976,1996-09-25 00:00:00,Gift of the architect in honor of Philip Johnson
458,Salk Institute for Biological Studies (laboratory,1962,1967-04-11 00:00:00,Gift of the architect
459,New York Tower,1985,1985-11-18 00:00:00,Gift of Ricardo Bofill Taller de Arquitectura
460,Museum of Vulcanism,1994,1994-09-21 00:00:00,Gift of the architect in honor of Lily Auchincloss
461,House for Venice Biennale,1976,1996-09-25 00:00:00,Gift of the architect in honor of Philip Johnson
462,Salk Institute for Biological Studies (laboratory,1962,1967-04-11 00:00:00,Gift of the architect
463,New York Tower,1985,1985-11-18 00:00:00,Gift of Ricardo Bofill Taller de Arquitectura
464,The Completion of Washington,1984,1994-09-21 00:00:00,Gift of the architect in honor of Lily Auchincloss
465,House for Venice Biennale project,1976,1996-09-25 00:00:00,Gift of the architect in honor of Philip Johnson
466,Salk Institute for Biological Studies (Laboratory,1962,1967-04-11 00:00:00,Gift of the architect
467,New York Tower,1985,1985-11-18 00:00:00,Gift of Ricardo Bofill Taller de Arquitectura
468,Nara Convention Hall Project,1992,1994-09-21 00:00:00,Gift of the architects in honor of Lily Auchincloss
469,House for Venice Biennale project,1976,1996-09-25 00:00:00,Gift of the architect in honor of Philip Johnson
470,Eleanor Donnelley Erdman Hall,1961,1967-04-11 00:00:00,Gift of the architect
471,New York Tower project,1985,1985-11-18 00:00:00,Gift of Ricardo Bofill Taller de Arquitectura
472,Nara Convention Hall Project,1992,1994-09-21 00:00:00,Gift of the architect in honor of Lily Auchincloss
473,House for Venice Biennale project,1976,1996-09-25 00:00:00,Gift of the architect in honor of Philip Johnson
474,Eleanor Donnelley Erdman Hall,1961,1967-04-11 00:00:00,Gift of the architect
475,New York Tower,1985,1985-11-18 00:00:00,Gift of Ricardo Bofill Taller de Arquitectura
476,Le Fresnoy,1992,1994-09-21 00:00:00,Gift of the architect in honor of Lily Auchincloss
477,House for Venice Biennale project,1976,1996-09-25 00:00:00,Gift of the architect in honor of Philip Johnson
478,Eleanor Donnelley Erdman Hall,1962,1967-04-11 00:00:00,Gift of the architect
479,New York Tower,1985,1985-11-18 00:00:00,Gift of Ricardo Bofill Taller de Arquitectura
480,Tokyo International Forum,1991,1994-09-21 00:00:00,Gift of the architect in honor of Lily Auchincloss
481,Tokyo International Forum,1991,1994-09-21 00:00:00,Gift of the architect in honor of Lily Auchincloss
482,Tokyo International Forum,1991,1994-09-21 00:00:00,Gift of the architect in honor of Lily Auchincloss
483,House for Venice Biennale project,1976,1996-09-25 00:00:00,Gift of the architect in honor of Philip Johnson
484,Traffic Studies,1953,1964-04-14 00:00:00,Gift of the architect
485,Fine Arts Center,1963,1967-04-11 00:00:00,Gift of the architect
486,New York Tower,1985,1985-11-18 00:00:00,Gift of Ricardo Bofill Taller de Arquitectura
487,House for Venice Biennale,1976,1996-09-25 00:00:00,Gift of the architect in honor of Philip Johnson
488,Traffic Study,1952,1964-04-14 00:00:00,Gift of the architect
489,Mikveh Israel Synagogue,1963,1967-04-11 00:00:00,Gift of the architect
490,Antigone: La Place du Nombre d'Or,1984,1985-11-18 00:00:00,Gift of Ricardo Bofill Taller de Arquitectura
491,House for Venice Biennale project,1976,1996-09-25 00:00:00,Gift of the architect in honor of Philip Johnson
492,Sher-e-Bangla Nagar,1964,1964-04-14 00:00:00,Gift of the architect
493,Mikveh Israel Synagogue,1962,1967-04-11 00:00:00,Gift of the architect
494,Café Aubette,1927,1982-10-27 00:00:00,"Gift of Lily Auchincloss, Celeste Bartos, and Marshall Cogan"
495,Antigone: La Place du Nombre d'Or,1984,1985-11-18 00:00:00,Gift of Ricardo Bofill Taller de Arquitectura
496,House for Venice Biennale project,1976,1996-09-25 00:00:00,Gift of the architect in honor of Philip Johnson
497,Sher-e-Bangla Nagar,1962,1964-04-14 00:00:00,Gift of the architect
498,Mikveh Israel Synagogue,1963,1967-04-11 00:00:00,Gift of the architect
499,Café Aubette,1927,1982-10-27 00:00:00,"Gift of Lily Auchincloss, Celeste Bartos, and Marshall Cogan"
500,La Place du Nombre d'Or,1984,1985-11-18 00:00:00,Gift of the architect
501,House for Venice Biennale project,1976,1996-09-25 00:00:00,Gift of the architect in honor of Philip Johnson
502,Sher-e-Bangla Nagar,1963,1964-04-14 00:00:00,Gift of the architect
503,Mikveh Israel Synagogue,1965,1967-04-11 00:00:00,Gift of the architect
504,Staatsgalerie Stuttgart,1978,1982-10-27 00:00:00,Gift of the architect
505,Les Eschelles du Baroque Apartment Building,1985,1985-11-18 00:00:00,Gift of Ricardo Bofill Taller de Arquitectura
506,House for Venice Biennale project,1976,1996-09-25 00:00:00,Gift of the architect in honor of Philip Johnson
507,Sher-e-Bangla Nagar,1963,1964-04-14 00:00:00,Gift of the architect
508,Mikveh Israel Synagogue,1965,1967-04-11 00:00:00,Gift of the architect
509,Staatsgalerie Stuttgart,1978,1982-10-27 00:00:00,Gift of the architect
510,Les Eschelles du Baroque Apartment Building,1987,1985-11-18 00:00:00,Gift of Ricardo Bofill Taller de Arquitectura
511,Beach Road II Office Tower Project,1981,1996-09-25 00:00:00,Gift of the architect in honor of Philip Johnson
512,Sher-e-Bangla Nagar,1963,1964-04-14 00:00:00,Gift of the architect
513,Mikveh Israel Synagogue,1965,1967-04-11 00:00:00,Gift of the architect
514,Staatsgalerie Stuttgart,1978,1982-10-27 00:00:00,Gift of the architect
515,Arkhitekturnye Fantazii,1933,1985-11-18 00:00:00,Arthur A. Cohen Purchase Fund
516,Formmutation I,1981,1988-11-22 00:00:00,Frederieke Taylor Purchase Fund
517,Feature Animation Building,1992,1996-09-25 00:00:00,Gift of the architect in honor of Philip Johnson
518,Sher-e-Bangla Nagar,1963,1964-04-14 00:00:00,Gift of the architect
519,Sher-e-Bangla Nagar,1962,1967-04-11 00:00:00,Gift of the architect
520,Staatsgalerie Stuttgart,1978,1982-10-27 00:00:00,Gift of the architect
521,The Completion of Washington,1985,1985-11-18 00:00:00,Purchase
522,Eclectic House Facade,1977,1988-11-22 00:00:00,Gift of Kenneth Walker
523,Seville World Fair,1989,1996-09-25 00:00:00,Gift of the architect in honor of Philip Johnson
524,Sher-e-Bangla Nagar,1963,1964-04-14 00:00:00,Gift of the architect
525,Sher-e-Bangla Nagar,1964,1967-04-11 00:00:00,Gift of the architect
526,Staatsgalerie Stuttgart,1978,1982-10-27 00:00:00,Gift of the architect
527,The Completion of Washington,1985,1985-11-18 00:00:00,Purchase
528,ABN-AMRO Bank Project,1996,1996-09-25 00:00:00,Gift of the architect in honor of Philip Johnson
529,Fine Arts Center,1963,1964-04-14 00:00:00,Gift of the architect
530,Sher-e-Bangla Nagar,1964,1967-04-11 00:00:00,Gift of the architect
531,Staatsgalerie Stuttgart,1978,1982-10-27 00:00:00,Gift of the architect
532,The Completion of Washington,1985,1985-11-18 00:00:00,Purchase
533,Untitled,1996,1996-09-25 00:00:00,Gift of the architect in honor of Philip Johnson
534,Fine Arts Center,1963,1964-04-14 00:00:00,Gift of the architect
535,Sher-e-Bangla Nagar,1964,1967-04-11 00:00:00,Gift of the architect
536,The Completion of Washington,1985,1985-11-18 00:00:00,Purchase
538,Fine Arts Center,1963,1964-04-14 00:00:00,Gift of the architect
539,Sher-e-Bangla Nagar,1963,1967-04-11 00:00:00,Gift of the architect
540,The Completion of Washington,1985,1985-11-18 00:00:00,Purchase
542,Mikveh Israel Synagogue,1963,1964-04-14 00:00:00,Gift of the architect
543,Sher-e-Bangla Nagar,1963,1967-04-11 00:00:00,Gift of the architect
544,The Completion of Washington,1985,1985-11-18 00:00:00,Purchase
546,Mikveh Israel Synagogue,1963,1964-04-14 00:00:00,Gift of the architect
547,Sher-e-Bangla Nagar,1963,1967-04-11 00:00:00,Gift of the architect
548,The Completion of Washington,1985,1985-11-18 00:00:00,Purchase
550,Mikveh Israel Synagogue,1963,1964-04-14 00:00:00,Gift of the architect
551,Sher-e-Bangla Nagar,1963,1967-04-11 00:00:00,Gift of the architect
552,The Completion of Washington,1985,1985-11-18 00:00:00,Purchase
553,Mikveh Israel Synagogue,1961,1964-04-14 00:00:00,Gift of the architect
554,Sher-e-Bangla Nagar,1963,1967-04-11 00:00:00,Gift of the architect
555,The Completion of Washington,1985,1985-11-18 00:00:00,Purchase
556,Mikveh Israel Synagogue,1962,1964-04-14 00:00:00,Gift of the architect
557,Sher-e-Bangla Nagar,1965,1967-04-11 00:00:00,Gift of the architect
558,Urban projects for Montevideo and São Paulo,1929,1985-11-18 00:00:00,Emilio Ambasz Fund
559,First Unitarian Church and School,1959,1964-04-14 00:00:00,Gift of the architect
560,Sher-e-Bangla Nagar,1965,1967-04-11 00:00:00,Gift of the architect
561,Art and Architecture Building,1958,1985-11-18 00:00:00,Gift of the architect
562,First Unitarian Church and School,1959,1964-04-14 00:00:00,Gift of the architect
563,Sher-e-Bangla Nagar,1964,1967-04-11 00:00:00,Gift of the architect
564,Arthur W. Milam Residence,1962,1985-11-18 00:00:00,Gift of the architect
565,First Unitarian Church and School,1961,1964-04-14 00:00:00,Gift of the architect
566,Sher-e-Bangla Nagar,1965,1967-04-11 00:00:00,Gift of the architect
567,Graphic Arts Center Project,1967,1985-11-18 00:00:00,Gift of the architect
568,First Unitarian Church and School,1961,1964-04-14 00:00:00,Gift of the architect
569,Sher-e-Bangla Nagar,1965,1967-04-11 00:00:00,Gift of the architect
570,Dharmala Office Building,1983,1985-11-18 00:00:00,Gift of the architect
571,First Unitarian Church and School,1961,1964-04-14 00:00:00,Gift of the architect
572,Sher-e-Bangla Nagar,1965,1967-04-11 00:00:00,Gift of the architect
573,First Unitarian Church and School,1961,1964-04-14 00:00:00,Gift of the architect
574,Sher-e-Bangla Nagar,1965,1967-04-11 00:00:00,Gift of the architect
575,Civic Center Studies,1957,1964-04-14 00:00:00,Gift of the architect
